2020-07-12 12:03:21,557 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/assets/js/awesomplete.min.js.map', 'full_path': '/assets/js/awesomplete.min.js.map?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 12:03:21,996 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.desk.page.setup_wizard.setup_wizard.load_messages', 'full_path': '/api/method/frappe.desk.page.setup_wizard.setup_wizard.load_messages?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:24,057 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.geo.country_info.get_country_timezone_info', 'full_path': '/api/method/frappe.geo.country_info.get_country_timezone_info?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:27,182 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.desk.form.load.getdoc', 'full_path': '/api/method/frappe.desk.form.load.getdoc?doctype=Currency&name=INR&_=1594555399774', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:39,052 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.get_charts_for_country', 'full_path': '/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.get_charts_for_country?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:04:02,240 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.validate_bank_account', 'full_path': '/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.validate_bank_account?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:04:26,060 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.validate_bank_account', 'full_path': '/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.validate_bank_account?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:04:33,372 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.validate_bank_account', 'full_path': '/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.validate_bank_account?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:04:40,771 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.desk.page.setup_wizard.setup_wizard.setup_complete', 'full_path': '/api/method/frappe.desk.page.setup_wizard.setup_wizard.setup_complete?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 500}
2020-07-12 12:04:41,714 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.validate_bank_account', 'full_path': '/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.validate_bank_account?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
